Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
UglifyJS2,https://github.com/mishoo/UglifyJS2.git,704,212,72,46,9734,3661,6908801,Mon Aug 10 11:29:37 PDT 2015,Sun May 27 04:09:01 PDT 2012
node-mysql,https://github.com/felixge/node-mysql.git,947,203,92,207,10919,5185,246597,Mon Jul 13 21:03:00 PDT 2015,Thu Apr 12 22:51:44 PDT 2012
winston,https://github.com/winstonjs/winston.git,737,196,160,60,4690,3962,1973669,Tue Aug 04 09:17:33 PDT 2015,Mon Dec 27 17:48:53 PST 2010
forever,https://github.com/foreverjs/forever.git,616,184,76,21,1786,6473,448207,Thu Jul 30 22:50:47 PDT 2015,Mon Sep 27 08:59:36 PDT 2010
cheerio,https://github.com/cheeriojs/cheerio.git,971,183,81,23,11451,5977,727869,Fri Aug 07 11:23:24 PDT 2015,Wed Oct 05 01:47:17 PDT 2011
joi,https://github.com/hapijs/joi.git,858,182,88,36,11288,1527,268757,Thu Aug 06 15:27:57 PDT 2015,Sun Sep 16 09:38:06 PDT 2012
js-yaml,https://github.com/nodeca/js-yaml.git,1026,179,26,126,17682,1074,3939856,Sat Aug 08 00:41:58 PDT 2015,Mon Oct 03 04:41:35 PDT 2011
cordova-cli,https://github.com/apache/cordova-cli.git,1063,169,88,8,534,359,160904,Fri Aug 07 14:21:44 PDT 2015,Mon Jun 04 11:34:18 PDT 2012
node-restify,https://github.com/mcavage/node-restify.git,1103,168,135,73,10145,3656,132440,Tue Aug 04 14:08:12 PDT 2015,Mon Apr 25 14:18:47 PDT 2011
statsd,https://github.com/etsy/statsd.git,856,163,202,31,3334,8102,36989,Fri Jul 24 09:31:13 PDT 2015,Wed Dec 29 16:15:00 PST 2010
q,https://github.com/kriskowal/q.git,841,157,72,25,7077,9367,6337665,Sun May 24 10:34:48 PDT 2015,Fri Sep 03 18:20:22 PDT 2010
nan,https://github.com/nodejs/nan.git,859,156,35,35,925,783,4789572,Mon Aug 10 07:52:39 PDT 2015,Sat Jul 20 03:36:27 PDT 2013
superagent,https://github.com/visionmedia/superagent.git,835,141,105,43,4305,4811,686412,Wed Aug 05 13:09:31 PDT 2015,Fri Aug 05 08:38:47 PDT 2011
node_redis,https://github.com/mranney/node_redis.git,614,140,98,43,4515,4853,1425281,Thu Aug 06 09:11:13 PDT 2015,Mon Sep 13 19:03:42 PDT 2010
esprima,https://github.com/jquery/esprima.git,923,138,53,1230,44921,2563,7700240,Fri Aug 07 21:46:18 PDT 2015,Tue Nov 22 18:29:59 PST 2011
async,https://github.com/caolan/async.git,799,136,142,13,7897,14047,15935403,Sun Aug 09 11:10:18 PDT 2015,Thu May 13 10:50:50 PDT 2010
chokidar,https://github.com/paulmillr/chokidar.git,819,135,40,5,2186,1054,2111146,Mon Aug 10 10:40:25 PDT 2015,Fri Apr 20 12:18:16 PDT 2012
ws,https://github.com/websockets/ws.git,791,133,87,41,7506,2457,2323512,Wed Aug 05 05:17:03 PDT 2015,Mon Nov 07 13:30:11 PST 2011
marked,https://github.com/chjj/marked.git,606,130,47,7,1415,6859,791858,Fri Jul 31 02:38:48 PDT 2015,Sun Jul 24 06:15:35 PDT 2011
node-inspector,https://github.com/node-inspector/node-inspector.git,550,126,57,412,115342,7505,128433,Wed Aug 05 15:34:14 PDT 2015,Sat Jul 17 16:21:51 PDT 2010
chai,https://github.com/chaijs/chai.git,981,121,88,43,6924,1991,953626,Mon Aug 10 02:13:16 PDT 2015,Tue Dec 06 05:18:01 PST 2011
yargs,https://github.com/bcoe/yargs.git,631,119,56,36,4468,842,3887880,Mon Aug 10 09:07:15 PDT 2015,Thu Sep 09 21:59:20 PDT 2010
validator.js,https://github.com/chriso/validator.js.git,760,118,98,6,2976,3888,496802,Tue Aug 04 14:00:25 PDT 2015,Wed Oct 06 00:13:04 PDT 2010
gulp,https://github.com/gulpjs/gulp.git,859,118,155,9,810,15461,1261706,Mon Aug 10 13:00:19 PDT 2015,Wed Jul 03 23:08:19 PDT 2013
mustache.js,https://github.com/janl/mustache.js.git,627,113,82,72,1227,8090,366347,Mon Aug 10 03:19:59 PDT 2015,Sun Oct 04 16:41:35 PDT 2009
grunt,https://github.com/gruntjs/grunt.git,1312,108,55,33,3690,9832,1299091,Thu May 28 14:57:30 PDT 2015,Wed Sep 21 08:15:24 PDT 2011
sinopia,https://github.com/rlidwka/sinopia.git,625,107,31,60,6494,1231,3950,Sat Aug 08 14:35:00 PDT 2015,Tue May 21 23:48:04 PDT 2013
Inquirer.js,https://github.com/sboudrias/Inquirer.js.git,381,104,34,49,3200,1762,2579674,Mon Jul 13 22:18:17 PDT 2015,Thu May 16 18:59:52 PDT 2013
koa,https://github.com/koajs/koa.git,678,96,69,64,3476,6765,45393,Thu Jul 16 07:27:48 PDT 2015,Sat Aug 17 00:15:57 PDT 2013
commander.js,https://github.com/tj/commander.js.git,441,95,72,31,1095,4050,11224008,Tue Jun 23 15:06:08 PDT 2015,Sun Aug 14 11:40:38 PDT 2011
ES6-Promises,https://github.com/jakearchibald/ES6-Promises.git,424,92,56,23,2091,1883,999439,Mon Aug 10 15:34:34 PDT 2015,Tue Oct 16 09:26:40 PDT 2012
underscore.string,https://github.com/epeli/underscore.string.git,636,90,91,159,2928,2750,4534306,Mon Jul 20 21:11:03 PDT 2015,Sat Jun 12 11:26:41 PDT 2010
istanbul,https://github.com/gotwarlost/istanbul.git,477,74,66,167,11251,2903,989342,Thu Aug 06 18:17:47 PDT 2015,Tue Sep 11 23:36:33 PDT 2012
should.js,https://github.com/shouldjs/should.js.git,552,72,64,37,4256,671,378061,Sun Aug 09 06:38:13 PDT 2015,Wed Nov 17 15:34:42 PST 2010
node-bunyan,https://github.com/trentm/node-bunyan.git,552,71,35,39,3104,2045,456494,Sat Jul 25 22:29:53 PDT 2015,Sun Jan 29 22:26:47 PST 2012
Nodemailer,https://github.com/andris9/Nodemailer.git,584,70,80,11,1223,4471,333451,Tue Jul 28 22:26:46 PDT 2015,Wed Jan 19 13:19:22 PST 2011
gm,https://github.com/aheckmann/gm.git,577,68,63,195,4728,2361,105110,Sun Jul 19 04:49:17 PDT 2015,Fri Jun 11 05:12:52 PDT 2010
node-formidable,https://github.com/felixge/node-formidable.git,372,66,54,39,2557,2586,1304177,Mon Feb 23 00:37:59 PST 2015,Mon May 03 15:19:32 PDT 2010
node-glob,https://github.com/isaacs/node-glob.git,372,66,23,36,2203,1295,17560474,Tue Jul 14 18:34:46 PDT 2015,Sun Nov 01 21:03:59 PST 2009
nconf,https://github.com/flatiron/nconf.git,243,64,35,33,1818,1775,393192,Tue Aug 04 10:31:48 PDT 2015,Wed Mar 30 22:22:01 PDT 2011
prompt,https://github.com/flatiron/prompt.git,207,64,32,16,1492,655,1107692,Fri May 22 12:17:31 PDT 2015,Thu May 19 00:37:29 PDT 2011
phantomjs,https://github.com/Medium/phantomjs.git,265,62,48,5,366,358,1203526,Mon Aug 10 08:17:41 PDT 2015,Mon Sep 10 14:05:36 PDT 2012
