Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
npm,https://github.com/npm/npm.git,6086,747,316,1253,119210,6720,2115679,Fri Jul 24 20:29:53 PDT 2015,Tue Sep 29 10:21:33 PDT 2009
jquery,https://github.com/jquery/jquery.git,5879,2498,281,173,38651,35397,526328,Wed Jul 29 08:10:04 PDT 2015,Tue Mar 21 19:33:07 PST 2006
lodash,https://github.com/lodash/lodash.git,5321,556,158,34,53945,10249,15184708,Wed Jul 29 18:37:06 PDT 2015,Sun Oct 25 11:36:12 PDT 2009
express,https://github.com/strongloop/express.git,5175,600,207,150,11565,19998,3088068,Fri Jul 24 18:36:56 PDT 2015,Fri Jun 26 11:56:18 PDT 2009
mongoose,https://github.com/Automattic/mongoose.git,5121,1302,241,278,72752,7312,560594,Wed Jul 29 15:36:34 PDT 2015,Tue Apr 06 14:43:02 PDT 2010
sails,https://github.com/balderdashy/sails.git,5088,722,214,177,13656,11350,53566,Thu Jul 30 12:09:04 PDT 2015,Mon Jan 16 19:49:11 PST 2012
react,https://github.com/facebook/react.git,4979,1064,555,328,68749,25658,420013,Thu Jul 30 13:29:50 PDT 2015,Wed May 29 12:46:11 PDT 2013
hapi,https://github.com/hapijs/hapi.git,4331,570,139,32,16351,4495,88819,Wed Jul 29 12:49:48 PDT 2015,Fri Aug 05 17:36:41 PDT 2011
connect,https://github.com/senchalabs/connect.git,3390,499,149,6,698,5597,3029726,Thu Jun 18 16:42:33 PDT 2015,Wed May 26 12:14:18 PDT 2010
node-mongodb-native,https://github.com/mongodb/node-mongodb-native.git,3195,940,234,110,38189,3971,886532,Fri Jul 24 04:05:24 PDT 2015,Thu Jan 07 04:53:14 PST 2010
ejs,https://github.com/mde/ejs.git,2770,383,108,5,1218,221,543169,Sat Jul 11 13:10:32 PDT 2015,Sat Mar 13 23:15:45 PST 2010
moment,https://github.com/moment/moment.git,2526,630,310,418,99408,21933,2060596,Mon Jul 27 21:39:50 PDT 2015,Mon Feb 28 18:53:16 PST 2011
less.js,https://github.com/less/less.js.git,2450,681,224,161,17783,12579,1059127,Sun Jul 19 13:16:26 PDT 2015,Tue Feb 23 10:39:05 PST 2010
jade,https://github.com/jadejs/jade.git,2243,430,173,32,2041,8837,2318321,Tue Jun 23 01:56:02 PDT 2015,Wed Jun 16 16:28:41 PDT 2010
pm2,https://github.com/Unitech/pm2.git,2172,447,120,150,11450,8829,159576,Wed Jul 22 08:09:19 PDT 2015,Mon May 20 20:27:20 PDT 2013
underscore,https://github.com/jashkenas/underscore.git,2063,424,253,13,6683,15349,7608535,Tue Jul 28 14:51:14 PDT 2015,Sun Oct 25 11:36:12 PDT 2009
node-browserify,https://github.com/substack/node-browserify.git,2037,316,157,376,5031,7865,2047402,Wed Jul 29 18:06:03 PDT 2015,Wed Sep 22 09:10:09 PDT 2010
bower,https://github.com/bower/bower.git,1825,500,164,105,15765,12643,1519600,Tue Jul 28 15:02:12 PDT 2015,Thu Sep 06 17:11:42 PDT 2012
mocha,https://github.com/mochajs/mocha.git,1786,400,253,119,15285,7097,1911738,Thu Jul 09 21:09:25 PDT 2015,Sun Aug 28 20:13:34 PDT 2011
jshint,https://github.com/jshint/jshint.git,1771,568,233,164,64439,5318,1749456,Fri Jul 03 22:49:36 PDT 2015,Fri Nov 12 15:10:20 PST 2010
request,https://github.com/request/request.git,1762,349,253,69,8404,7925,10855385,Wed Jul 29 07:15:43 PDT 2015,Fri May 07 15:03:37 PDT 2010
karma,https://github.com/karma-runner/karma.git,1658,436,184,79,4870,5455,1072746,Tue Jul 28 11:22:32 PDT 2015,Wed Oct 12 00:59:30 PDT 2011
