Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
bluebird,https://github.com/petkaantonov/bluebird.git,1530,234,98,202,30842,7266,4054898,Wed Jul 15 03:44:03 PDT 2015,Mon Sep 02 06:31:08 PDT 2013
socket.io,https://github.com/Automattic/socket.io.git,1422,348,95,7,2828,18669,1939644,Tue Jul 14 18:02:56 PDT 2015,Thu May 05 08:49:40 PDT 2011
handlebars.js,https://github.com/wycats/handlebars.js.git,1419,273,124,83,9132,8718,2872404,Thu Jul 30 07:53:25 PDT 2015,Sat Jul 31 01:23:28 PDT 2010
grunt,https://github.com/gruntjs/grunt.git,1312,108,55,33,3690,9807,1349590,Thu May 28 14:57:30 PDT 2015,Wed Sep 21 08:15:24 PDT 2011
cordova-cli,https://github.com/apache/cordova-cli.git,1058,168,87,8,534,353,173389,Wed Jun 03 13:44:27 PDT 2015,Mon Jun 04 11:34:18 PDT 2012
generator,https://github.com/yeoman/generator.git,999,272,109,54,6355,541,168656,Fri Jul 24 14:59:03 PDT 2015,Mon Jul 23 06:07:32 PDT 2012
cheerio,https://github.com/cheeriojs/cheerio.git,969,183,81,23,11442,5913,741723,Fri Jun 12 10:01:20 PDT 2015,Wed Oct 05 01:47:17 PDT 2011
node-mysql,https://github.com/felixge/node-mysql.git,947,203,92,207,10919,5135,239952,Mon Jul 13 21:03:00 PDT 2015,Thu Apr 12 22:51:44 PDT 2012
gulp,https://github.com/gulpjs/gulp.git,854,118,155,9,810,15254,1302535,Tue Jul 28 09:07:18 PDT 2015,Wed Jul 03 23:08:19 PDT 2013
q,https://github.com/kriskowal/q.git,841,157,72,25,7077,9278,6387312,Sun May 24 10:34:48 PDT 2015,Fri Sep 03 18:20:22 PDT 2010
superagent,https://github.com/visionmedia/superagent.git,830,140,104,43,4300,4724,671212,Wed Jul 29 13:42:38 PDT 2015,Fri Aug 05 08:38:47 PDT 2011
nodemon,https://github.com/remy/nodemon.git,783,240,68,145,10594,5474,297377,Mon Jul 27 13:44:32 PDT 2015,Sun Oct 03 06:34:34 PDT 2010
async,https://github.com/caolan/async.git,781,135,140,13,7857,13924,16305237,Sun Jul 26 18:08:07 PDT 2015,Thu May 13 10:50:50 PDT 2010
validator.js,https://github.com/chriso/validator.js.git,749,114,98,6,2870,3840,481982,Wed Jul 29 15:45:31 PDT 2015,Wed Oct 06 00:13:04 PDT 2010
winston,https://github.com/winstonjs/winston.git,735,196,159,60,4690,3916,2056256,Wed Jul 29 21:09:42 PDT 2015,Mon Dec 27 17:48:53 PST 2010
UglifyJS2,https://github.com/mishoo/UglifyJS2.git,695,209,68,44,9677,3614,7033124,Thu Jul 30 07:25:13 PDT 2015,Sun May 27 04:09:01 PDT 2012
underscore.string,https://github.com/epeli/underscore.string.git,636,90,91,159,2928,2738,4615453,Mon Jul 20 21:11:03 PDT 2015,Sat Jun 12 11:26:41 PDT 2010
forever,https://github.com/foreverjs/forever.git,611,183,76,22,1776,6410,485140,Fri Jul 24 00:58:29 PDT 2015,Mon Sep 27 08:59:36 PDT 2010
node_redis,https://github.com/mranney/node_redis.git,607,140,98,43,4482,4825,1592244,Sat Jul 25 14:30:10 PDT 2015,Mon Sep 13 19:03:42 PDT 2010
marked,https://github.com/chjj/marked.git,596,124,46,7,1415,6789,750560,Wed Jul 29 03:16:23 PDT 2015,Sun Jul 24 06:15:35 PDT 2011
yargs,https://github.com/bcoe/yargs.git,596,112,52,36,4402,789,3727296,Wed Jul 29 21:53:14 PDT 2015,Thu Sep 09 21:59:20 PDT 2010
Nodemailer,https://github.com/andris9/Nodemailer.git,584,70,80,11,1223,4433,342943,Tue Jul 28 22:26:46 PDT 2015,Wed Jan 19 13:19:22 PST 2011
node-inspector,https://github.com/node-inspector/node-inspector.git,540,124,56,409,115252,7429,132995,Wed Jul 29 00:26:42 PDT 2015,Sat Jul 17 16:21:51 PDT 2010
commander.js,https://github.com/tj/commander.js.git,441,95,72,31,1095,3997,11692455,Tue Jun 23 15:06:08 PDT 2015,Sun Aug 14 11:40:38 PDT 2011
passport,https://github.com/jaredhanson/passport.git,410,5,21,33,6134,5820,425245,Thu May 21 12:35:07 PDT 2015,Sat Oct 08 15:40:46 PDT 2011
node-glob,https://github.com/isaacs/node-glob.git,372,66,23,36,2203,1261,17564036,Tue Jul 14 18:34:46 PDT 2015,Sun Nov 01 21:03:59 PST 2009
yo,https://github.com/yeoman/yo.git,361,64,35,21,1271,1062,108659,Mon Jul 27 03:34:50 PDT 2015,Mon Feb 11 05:33:06 PST 2013
debug,https://github.com/visionmedia/debug.git,259,37,39,8,565,2051,13722101,Sun May 10 00:21:15 PDT 2015,Mon Nov 28 17:08:27 PST 2011
body-parser,https://github.com/expressjs/body-parser.git,244,18,10,12,2277,575,2322105,Thu Jul 16 20:38:13 PDT 2015,Mon Jan 06 00:24:57 PST 2014
node-uuid,https://github.com/broofa/node-uuid.git,222,29,26,4,410,2047,5088948,Thu May 28 05:41:32 PDT 2015,Tue Dec 28 11:06:46 PST 2010
gulp-sass,https://github.com/dlmanning/gulp-sass.git,214,32,35,3,558,467,300183,Thu Jul 30 08:11:04 PDT 2015,Sat Aug 31 14:01:20 PDT 2013
node-semver,https://github.com/npm/node-semver.git,202,26,35,7,1974,843,6869082,Mon Jul 13 13:02:16 PDT 2015,Fri Feb 11 15:41:41 PST 2011
gulp-util,https://github.com/wearefractal/gulp-util.git,201,32,33,27,722,373,2082157,Tue Jun 23 13:43:44 PDT 2015,Fri Sep 02 01:27:46 PDT 2011
node-optimist,https://github.com/substack/node-optimist.git,185,32,16,23,1188,2100,6970071,Wed Feb 05 08:00:02 PST 2014,Thu Sep 09 21:59:20 PDT 2010
node-mime,https://github.com/broofa/node-mime.git,157,13,36,4,97,569,7459379,Fri Feb 06 16:00:52 PST 2015,Wed Feb 24 17:06:15 PST 2010
node-extend,https://github.com/justmoon/node-extend.git,146,16,13,2,630,94,3914054,Fri Jul 24 11:54:53 PDT 2015,Sun Apr 08 16:58:43 PDT 2012
colors.js,https://github.com/Marak/colors.js.git,126,26,27,17,621,1612,5685060,Wed Jun 17 06:42:07 PDT 2015,Thu Jun 10 23:56:25 PDT 2010
rimraf,https://github.com/isaacs/rimraf.git,126,17,15,4,424,477,8665190,Sun Jul 19 14:44:03 PDT 2015,Tue Feb 08 00:07:07 PST 2011
chalk,https://github.com/chalk/chalk.git,123,15,13,3,223,2233,9467074,Thu Jul 16 13:34:28 PDT 2015,Fri Aug 02 17:16:26 PDT 2013
gulp-concat,https://github.com/wearefractal/gulp-concat.git,113,17,28,5,240,292,681778,Tue Jun 23 13:43:59 PDT 2015,Fri Jul 05 23:33:43 PDT 2013
through,https://github.com/dominictarr/through.git,95,9,12,6,306,456,4674880,Fri Jul 03 06:38:16 PDT 2015,Wed Jul 04 06:49:53 PDT 2012
gulp-uglify,https://github.com/terinjokes/gulp-uglify.git,90,18,11,10,493,335,493298,Thu Apr 16 10:29:55 PDT 2015,Thu Jul 04 17:27:51 PDT 2013
through2,https://github.com/rvagg/through2.git,88,7,10,5,430,507,7020484,Thu Jun 11 17:17:22 PDT 2015,Wed Jul 31 21:46:24 PDT 2013
node-mkdirp,https://github.com/substack/node-mkdirp.git,80,7,9,18,498,642,13112609,Wed May 13 19:31:42 PDT 2015,Wed Jan 05 18:49:15 PST 2011
minimist,https://github.com/substack/minimist.git,58,4,11,15,833,937,16324445,Wed Jul 22 12:54:34 PDT 2015,Mon Jun 24 23:30:03 PDT 2013
grunt-cli,https://github.com/gruntjs/grunt-cli.git,58,1,16,4,77,461,866348,Wed May 20 16:53:19 PDT 2015,Thu Nov 01 11:40:39 PDT 2012
yosay,https://github.com/yeoman/yosay.git,49,6,7,3,216,72,138658,Thu Jul 16 15:18:23 PDT 2015,Fri May 09 06:57:42 PDT 2014
gulp-autoprefixer,https://github.com/sindresorhus/gulp-autoprefixer.git,26,5,4,2,123,231,272921,Wed Jun 03 04:44:08 PDT 2015,Mon Sep 08 08:47:45 PDT 2014
