Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
markgiu,https://github.com/bianchimro/markgiu.git,20,0,2,20,3309,96,-1,Thu Jun 13 11:15:04 PDT 2013,Fri Mar 29 04:55:08 PDT 2013
leximail,https://github.com/kimus/leximail.git,17,0,2,8,800,137,-1,Thu May 15 15:28:13 PDT 2014,Mon Feb 03 09:43:22 PST 2014
broado,https://github.com/sahanarula/broado.git,16,0,1,3,1194,64,-1,Tue Jun 16 12:26:22 PDT 2015,Thu Jul 17 09:38:53 PDT 2014
slate,https://github.com/slate/slate.git,13,0,4,14,446,1957,-1,Thu May 29 17:32:37 PDT 2014,Mon Mar 17 19:42:33 PDT 2014
node-webkit-ace-editor,https://github.com/brads-tools/node-webkit-ace-editor.git,13,1,2,111,3429,73,-1,Thu May 09 11:02:27 PDT 2013,Sat Feb 09 18:09:17 PST 2013
Hyro,https://github.com/jawerty/Hyro.git,12,0,3,11,46166,776,-1,Mon Jun 22 06:48:22 PDT 2015,Thu Jan 09 12:38:50 PST 2014
MinecraftSnaps,https://github.com/Antrikshy/MinecraftSnaps.git,10,0,1,3,1505,7,-1,Sun Oct 26 11:54:48 PDT 2014,Mon Oct 06 15:50:26 PDT 2014
Weather-Map,https://github.com/rafaelkyrdan/Weather-Map.git,10,0,2,8,14413,43,-1,Fri Mar 01 06:18:40 PST 2013,Sun Jan 13 07:02:26 PST 2013
artomico-debian,https://github.com/PCI-TDF/artomico-debian.git,10,2,2,110,65353,3,-1,Tue May 13 13:09:41 PDT 2014,Wed Feb 12 04:07:40 PST 2014
TopAnimeStream,https://github.com/senpaiski/TopAnimeStream.git,9,5,1,33,2406,52,-1,Sat Dec 13 00:10:13 PST 2014,Thu Dec 04 13:27:46 PST 2014
remonit,https://github.com/zefei/remonit.git,9,0,1,55,25954,43,-1,Wed Sep 24 15:38:36 PDT 2014,Wed Sep 24 14:24:05 PDT 2014
Astar,https://github.com/YutaMiyake/Astar.git,8,5,1,133,25457,1,-1,Wed Jul 22 14:09:06 PDT 2015,Wed Jun 10 13:46:00 PDT 2015
nodewebkitqq,https://github.com/caofb/nodewebkitqq.git,8,0,2,154,31353,63,-1,Tue Jul 15 18:38:14 PDT 2014,Sun Jul 13 18:45:37 PDT 2014
muvconf,https://github.com/vf1/muvconf.git,8,0,1,23,16469,46,-1,Sat Mar 23 08:01:07 PDT 2013,Thu Feb 28 15:18:44 PST 2013
